T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0.02838739990258332,493,296,501,165,47,-45
2,0.7240225906080695,234,561,380,360,58,90
3,0.40663341994347213,150,164,611,150,6,68
4,0.2806461492658948,445,230,483,562,48,-3
5,0.9752534341763545,509,355,584,210,94,93
6,0.7864900056112147,444,295,177,299,-100,-7
7,0.8412141952164987,617,609,457,170,-84,32
8,0.7699979447843478,413,585,581,310,-7,98
9,0.5507391729453862,127,381,559,281,-60,61
10,0.45203874657908594,451,612,290,448,61,84
11,0.7464592050553569,82,543,540,555,-32,-22
12,0.6099939627458425,476,405,40,366,-67,-47
13,0.08739083087671684,612,390,522,158,39,-84
14,0.43552383397579897,593,198,608,502,79,-97
15,0.5863228954734985,90,353,251,292,-54,-58
16,0.07632507923193121,368,384,124,104,-13,-4
17,0.4324253345097484,320,332,470,120,-53,-9
18,0.06043482136902101,54,273,323,282,68,-11
19,0.5234687057838997,287,160,434,160,30,-7
20,0.6279165995356789,227,366,86,168,69,27
21,0.8587260426595938,530,388,318,166,88,19
22,0.12346108546060885,567,200,508,80,-56,-31
23,0.8677236697205412,42,513,376,483,-17,-18
24,0.9642059656757881,276,475,498,182,48,-55
25,0.4941299849887273,220,0,117,545,-2,14
26,0.33054526653907124,369,170,310,43,95,15
27,0.24092856071242086,55,13,592,63,97,-98
28,0.3303536138045221,130,420,4,228,99,-66
29,0.14926736689017928,24,420,109,526,95,-16
30,0.2913111173137045,552,150,292,192,5,-86
31,0.486978089378155,197,368,552,163,-42,-48
32,0.7129285514946098,60,463,435,295,-84,36
33,0.2918577208072807,147,201,15,175,40,-91
34,0.7670328158474321,85,551,409,155,20,-68
35,0.005620860001767869,295,114,560,210,54,37
36,0.4088154777176023,347,13,352,558,41,35
37,0.18313033868356976,372,87,84,417,16,-28
38,0.7471883996811989,206,590,587,184,97,-62
39,0.363818661745707,430,555,478,269,75,-51
40,0.5750398748118379,332,595,615,186,-18,25
41,0.21734992315103363,288,610,261,341,81,-50
42,0.9826763097626947,487,517,2,319,-76,-46
43,0.5535153827806731,153,130,619,301,-32,38
44,0.9109433122319124,517,492,233,288,-96,-54
45,0.12237896665281467,447,373,529,560,-74,60
46,0.8784776509614004,187,489,112,75,46,55
47,0.9128476922704732,7,296,473,595,55,32
48,0.9769318700555278,213,264,390,505,-29,65
49,0.09709361767402047,105,395,255,608,29,3
50,0.698005429319741,341,372,260,297,70,-80
51,0.31323910026018364,599,271,250,425,-70,94
52,0.7646573995076795,33,473,190,552,-84,48
53,0.4084829087010694,526,496,314,301,89,-54
54,0.9794278373034808,85,381,328,195,43,-8
55,0.39292993425003364,200,428,607,14,21,-14
56,0.07594536627298176,579,41,271,213,34,63
57,0.6795506860971803,208,24,28,57,51,43
58,0.6852206477844099,227,92,45,42,-70,13
59,0.8495391736672397,171,83,459,249,-57,-51
60,0.3617630893196664,75,202,420,564,-17,6
61,0.11493537396571185,491,336,193,65,-13,0
62,0.11399064842435946,475,241,136,39,74,-60
63,0.06785248465178961,211,83,550,4,-59,50
64,0.8711858134876026,184,16,4,257,-38,-11
65,0.7975504000694228,86,238,617,168,-93,-40
66,0.21590029956896972,573,433,362,324,-32,86
67,0.9974552379769098,417,126,472,475,61,-41
68,0.7674621136022385,285,139,0,426,-81,-71
69,0.9906844677709092,335,95,533,596,57,4
70,0.34128845951774267,232,608,407,402,-96,90
71,0.6445362998527046,129,131,123,135,8,1
72,0.16347933871489584,301,560,303,37,75,-89
73,0.2518489338785753,193,284,559,529,43,30
74,0.8444584411515746,165,352,537,208,-86,46
75,0.6494545887580992,119,479,619,549,75,95
76,0.5336628504531672,385,273,294,236,-7,-98
77,0.34496262555432156,181,126,515,121,-95,-84
78,0.7668318943991236,50,474,620,230,1,-33
79,0.3661423165656891,321,489,129,283,-84,41
80,0.9505049948965242,167,586,343,303,95,-45
81,0.8692504785145683,439,247,521,20,5,86
82,0.513320334626456,546,281,153,473,50,-89
83,0.5764286711747655,583,53,519,310,22,85
84,0.20045266961881225,319,393,64,16,93,-20
85,0.6552882453380946,480,225,364,451,1,-93
86,0.03352427572444294,1,200,4,208,40,16
87,0.41658033091528,472,24,243,240,-20,-71
88,0.2021460305816295,72,262,41,334,68,-22
89,0.10177371680551928,454,486,423,560,8,63
90,0.8341950519311194,92,83,296,137,-68,54
91,0.6758373209368377,135,175,450,572,-14,22
92,0.38592818286545094,405,138,377,415,-85,59
93,0.7554334152309464,55,572,91,226,81,62
94,0.8586246773555807,150,224,248,414,-49,19
95,0.4029461656156983,281,226,474,563,-67,-65
96,0.45935563495341314,368,19,64,391,-52,81
97,0.17070746859725017,583,619,231,85,-19,64
98,0.08087914377209249,273,416,550,34,-51,-48
99,0.6160775261283451,293,169,271,171,92,-34
100,0.28096358012986355,185,95,140,391,-50,-62
