T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0,0,0,0,0,80,80
2,0,0,0,0,0,80,80
3,0.765124476904206,497,594,305,421,-24,65
4,0,0,0,0,0,80,80
5,0.7610420395591636,202,607,218,104,-10,-78
6,0,0,0,0,0,80,80
7,0.6949493710016691,557,12,140,601,-20,-56
8,0,0,0,0,0,80,80
9,0,0,0,0,0,80,80
10,0,0,0,0,0,80,80
11,0,0,0,0,0,80,80
12,0,0,0,0,0,80,80
13,0.780836955968514,441,412,51,522,-20,-61
14,0.6506360653728277,298,428,533,450,-24,49
15,0.676606625528205,287,31,497,463,46,56
16,0.994353872646169,85,174,489,125,68,11
17,0,0,0,0,0,80,80
18,0,0,0,0,0,80,80
19,0.7893511968831365,122,203,197,267,82,4
20,0.8955873571215399,241,236,26,574,24,-24
21,0.8724717399585439,587,533,605,184,-98,65
22,0.8938738426494335,221,539,5,190,55,-7
23,0.7860773186371922,414,23,398,211,-90,-31
24,0,0,0,0,0,80,80
25,0,0,0,0,0,80,80
26,0.7311962208764168,39,501,149,148,-65,-99
27,0,0,0,0,0,80,80
28,0,0,0,0,0,80,80
29,0,0,0,0,0,80,80
30,0.8685379528253883,58,20,50,140,-6,-42
31,0.6427019266534255,595,467,503,609,-91,-71
32,0.6766708591420697,426,619,159,191,-93,-69
33,0,0,0,0,0,80,80
34,0.9238801931154931,302,140,99,474,-82,10
35,0,0,0,0,0,80,80
36,0,0,0,0,0,80,80
37,0.6303107936611366,386,1,534,436,-97,22
38,0.9311985304782291,602,63,230,323,98,-23
39,0.8855237360122683,328,11,288,391,32,-13
40,0.6082015855486312,97,407,125,588,-87,0
41,0,0,0,0,0,80,80
42,0,0,0,0,0,80,80
43,0.7749295373504381,105,262,494,579,-7,-8
44,0,0,0,0,0,80,80
45,0,0,0,0,0,80,80
46,0.7871016875618824,603,290,395,570,-3,-2
47,0,0,0,0,0,80,80
48,0,0,0,0,0,80,80
49,0,0,0,0,0,80,80
50,0,0,0,0,0,80,80
51,0,0,0,0,0,80,80
52,0.7072965412310241,193,613,46,255,53,74
53,0,0,0,0,0,80,80
54,0,0,0,0,0,80,80
55,0,0,0,0,0,80,80
56,0.7291312748086899,345,519,372,373,-54,-1
57,0,0,0,0,0,80,80
58,0,0,0,0,0,80,80
59,0.9016096110291169,402,292,131,469,-73,-9
60,0.7985445576998053,246,475,153,309,-93,-9
61,0.9857660099938849,575,365,28,228,-24,-78
62,0.8681251682137648,18,500,412,434,46,28
63,0.9474082337744872,490,377,121,15,83,95
64,0,0,0,0,0,80,80
65,0,0,0,0,0,80,80
66,0,0,0,0,0,80,80
67,0.6631248354642038,108,459,102,509,38,-9
68,0,0,0,0,0,80,80
69,0,0,0,0,0,80,80
70,0.6536134797663504,437,172,27,23,10,-100
71,0,0,0,0,0,80,80
72,0,0,0,0,0,80,80
73,0.9423901456152642,542,118,114,224,45,79
74,0.8810042111333029,399,578,461,307,42,97
75,0,0,0,0,0,80,80
76,0,0,0,0,0,80,80
77,0,0,0,0,0,80,80
78,0.982572573077252,549,262,76,147,8,77
79,0,0,0,0,0,80,80
80,0.8755220982137563,272,370,608,5,-61,90
81,0.6287786207280366,160,202,206,247,42,26
82,0,0,0,0,0,80,80
83,0,0,0,0,0,80,80
84,0,0,0,0,0,80,80
85,0.8458834836611422,540,142,201,107,-34,-84
86,0.7621628801393011,387,152,426,362,-41,-72
87,0,0,0,0,0,80,80
88,0.9852662884282167,616,66,260,83,88,-72
89,0,0,0,0,0,80,80
90,0,0,0,0,0,80,80
91,0.6504757264420952,226,574,426,218,-55,-98
92,0.9124246951850438,110,405,199,61,79,13
93,0,0,0,0,0,80,80
94,0.7921773598131628,277,337,559,85,-86,-20
95,0,0,0,0,0,80,80
96,0.6773536347650827,381,534,181,341,-78,-78
97,0,0,0,0,0,80,80
98,0,0,0,0,0,80,80
99,0,0,0,0,0,80,80
100,0,0,0,0,0,80,80
