T[s],confidence,x1,y1,x2,y2,left-motor,right-motor
1,0.6306767315128434,68,337,302,620,-6,-10
2,0,0,0,0,0,80,80
3,0,0,0,0,0,80,80
4,0,0,0,0,0,80,80
5,0,0,0,0,0,80,80
6,0.9027144053717904,113,298,244,527,15,90
7,0,0,0,0,0,80,80
8,0.937409690316139,11,404,612,292,-3,23
9,0,0,0,0,0,80,80
10,0,0,0,0,0,80,80
11,0,0,0,0,0,80,80
12,0.6403170135336037,446,379,437,562,-43,-27
13,0.9609128514240077,385,493,521,539,55,35
14,0.7912265298581125,384,205,154,493,36,-38
15,0,0,0,0,0,80,80
16,0.8211249187770393,606,294,395,308,-79,-28
17,0,0,0,0,0,80,80
18,0,0,0,0,0,80,80
19,0.9461273872520699,489,45,351,166,51,65
20,0.8942364200833914,348,44,251,138,-29,-53
21,0,0,0,0,0,80,80
22,0,0,0,0,0,80,80
23,0,0,0,0,0,80,80
24,0,0,0,0,0,80,80
25,0,0,0,0,0,80,80
26,0.8615903172672907,225,396,331,64,74,36
27,0,0,0,0,0,80,80
28,0,0,0,0,0,80,80
29,0,0,0,0,0,80,80
30,0,0,0,0,0,80,80
31,0,0,0,0,0,80,80
32,0,0,0,0,0,80,80
33,0.7360504490211713,566,35,525,402,80,-82
34,0.7909102395545167,482,443,500,209,26,79
35,0,0,0,0,0,80,80
36,0.8696000976430494,277,434,88,302,-36,36
37,0,0,0,0,0,80,80
38,0,0,0,0,0,80,80
39,0.6409619318932771,466,573,300,412,-89,-18
40,0,0,0,0,0,80,80
41,0.644293285949762,521,311,124,5,34,24
42,0.6228254294611193,229,347,541,110,83,-26
43,0.7524668008563344,83,307,293,538,-71,-41
44,0,0,0,0,0,80,80
45,0,0,0,0,0,80,80
46,0,0,0,0,0,80,80
47,0.7853117258686377,416,12,198,182,87,3
48,0.8471909046664422,351,53,331,1,3,38
49,0.8379318084133721,220,56,113,78,-61,72
50,0.7989762092149763,118,1,414,441,-93,-32
51,0,0,0,0,0,80,80
52,0,0,0,0,0,80,80
53,0,0,0,0,0,80,80
54,0.9079557224194459,591,478,139,509,56,-27
55,0,0,0,0,0,80,80
56,0,0,0,0,0,80,80
57,0,0,0,0,0,80,80
58,0,0,0,0,0,80,80
59,0.9234524892178854,5,278,75,71,100,84
60,0.7992627220331852,609,173,411,388,-17,-62
61,0,0,0,0,0,80,80
62,0.9589148256542684,498,501,2,265,95,97
63,0.9230074430703521,203,563,52,308,30,-84
64,0,0,0,0,0,80,80
65,0.7272086846563539,63,104,432,540,-78,-75
66,0,0,0,0,0,80,80
67,0.8071033339256407,595,460,30,344,-77,-94
68,0.8400904867052164,250,44,294,491,-54,57
69,0,0,0,0,0,80,80
70,0.7241606343957296,117,461,614,566,23,81
71,0.7796550361670052,278,449,314,215,-23,73
72,0.8052619018751018,103,507,323,580,-64,-74
73,0,0,0,0,0,80,80
74,0,0,0,0,0,80,80
75,0,0,0,0,0,80,80
76,0,0,0,0,0,80,80
77,0,0,0,0,0,80,80
78,0,0,0,0,0,80,80
79,0,0,0,0,0,80,80
80,0.8229961605435053,366,204,543,616,-96,-91
81,0,0,0,0,0,80,80
82,0.853609219183088,479,119,237,79,4,-91
83,0,0,0,0,0,80,80
84,0,0,0,0,0,80,80
85,0,0,0,0,0,80,80
86,0,0,0,0,0,80,80
87,0,0,0,0,0,80,80
88,0,0,0,0,0,80,80
89,0.9494218296204202,556,476,67,127,31,52
90,0.6085487141238818,240,243,73,301,-77,94
91,0.7292787584868035,127,224,514,548,-14,65
92,0,0,0,0,0,80,80
93,0.7505297869015213,456,247,393,521,-97,73
94,0.6150907466124176,259,440,20,150,-95,-90
95,0,0,0,0,0,80,80
96,0,0,0,0,0,80,80
97,0.6527589858508325,494,553,329,306,7,86
98,0.9422148133506164,290,403,269,575,-75,84
99,0.885400585174016,561,590,406,394,-14,-22
100,0,0,0,0,0,80,80
